,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Road_Surface_Conditions,Speed_limit,Time,Weather_Conditions,Year_y
0,200501BS00001,Serious,04/01/2005,Tuesday,Daylight,1,1,0.0,1.0,Wet or damp,30,17:42,Raining no high winds,2005
1,200501BS00002,Slight,05/01/2005,Wednesday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,17:36,Fine no high winds,2005
2,200501BS00003,Slight,06/01/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,0:15,Fine no high winds,2005
3,200501BS00004,Slight,07/01/2005,Friday,Daylight,1,1,0.0,0.0,Dry,30,10:35,Fine no high winds,2005
4,200501BS00005,Slight,10/01/2005,Monday,Darkness - lighting unknown,1,1,0.0,0.0,Wet or damp,30,21:13,Fine no high winds,2005
5,200501BS00006,Slight,11/01/2005,Tuesday,Daylight,1,2,0.0,0.0,Wet or damp,30,12:40,Raining no high winds,2005
6,200501BS00006,Slight,11/01/2005,Tuesday,Daylight,1,2,0.0,0.0,Wet or damp,30,12:40,Raining no high winds,2005
7,200501BS00007,Slight,13/01/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:40,Fine no high winds,2005
8,200501BS00007,Slight,13/01/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:40,Fine no high winds,2005
9,200501BS00009,Slight,14/01/2005,Friday,Daylight,2,1,0.0,0.0,Dry,30,17:35,Fine no high winds,2005
10,200501BS00010,Slight,15/01/2005,Saturday,Darkness - lights lit,2,2,0.0,5.0,Dry,30,22:43,Fine no high winds,2005
11,200501BS00011,Slight,15/01/2005,Saturday,Daylight,5,2,0.0,8.0,Dry,30,16:00,Fine no high winds,2005
12,200501BS00012,Slight,16/01/2005,Sunday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,0:42,Fine no high winds,2005
13,200501BS00014,Slight,25/01/2005,Tuesday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,20:48,Fine no high winds,2005
14,200501BS00015,Slight,11/01/2005,Tuesday,Daylight,1,1,0.0,1.0,Wet or damp,30,12:55,Raining no high winds,2005
15,200501BS00016,Slight,18/01/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,5:01,Raining no high winds,2005
16,200501BS00016,Slight,18/01/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,5:01,Raining no high winds,2005
17,200501BS00017,Slight,18/01/2005,Tuesday,Daylight,2,1,0.0,0.0,Dry,30,11:15,Fine no high winds,2005
18,200501BS00018,Slight,18/01/2005,Tuesday,Daylight,1,1,0.0,1.0,Dry,30,10:50,Fine no high winds,2005
19,200501BS00019,Serious,20/01/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,0:15,Fine no high winds,2005
20,200501BS00020,Slight,21/01/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,9:15,Fine no high winds,2005
21,200501BS00021,Slight,21/01/2005,Friday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,21:16,Fine no high winds,2005
22,200501BS00021,Slight,21/01/2005,Friday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,21:16,Fine no high winds,2005
23,200501BS00022,Serious,08/01/2005,Saturday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,3:00,Fine no high winds,2005
24,200501BS00023,Slight,24/01/2005,Monday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,21:45,Fine no high winds,2005
