,Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,make,Sex_of_Driver,Skidding_and_Overturning,X1st_Point_of_Impact,Year_x
0,200501BS00001,,,,,,,,
1,200501BS00002,36 - 45,3.0,Data missing or out of range,DENNIS,Male,,Nearside,2005.0
2,200501BS00003,26 - 35,5.0,Urban area,DENNIS,Male,,Nearside,2005.0
3,200501BS00004,46 - 55,4.0,Urban area,NISSAN,Female,,Front,2005.0
4,200501BS00005,46 - 55,10.0,Data missing or out of range,HONDA,Male,Skidded,Front,2005.0
5,200501BS00006,46 - 55,1.0,Urban area,AUDI,Male,,Did not impact,2005.0
6,200501BS00006,26 - 35,2.0,Urban area,PIAGGIO,Female,,Did not impact,2005.0
7,200501BS00007,26 - 35,,Data missing or out of range,AUDI,Male,,Front,2005.0
8,200501BS00007,36 - 45,4.0,Urban area,MERCEDES,Male,,Back,2005.0
9,200501BS00009,66 - 75,16.0,Urban area,JAGUAR,Male,,Front,2005.0
10,200501BS00010,,,,,,,,
11,200501BS00011,,,,,,,,
12,200501BS00012,26 - 35,6.0,Urban area,FORD,Male,,Front,2005.0
13,200501BS00014,16 - 20,1.0,Data missing or out of range,PIAGGIO,Female,,Front,2005.0
14,200501BS00015,,,,,,,,
15,200501BS00016,26 - 35,2.0,Urban area,MCC,Male,,Front,2005.0
16,200501BS00016,26 - 35,4.0,Urban area,MERCEDES,Male,,Did not impact,2005.0
17,200501BS00017,36 - 45,2.0,Urban area,BMW,Male,,Front,2005.0
18,200501BS00018,56 - 65,1.0,Urban area,VOLVO,Male,,Nearside,2005.0
19,200501BS00019,,,,,,,,
20,200501BS00020,26 - 35,7.0,Urban area,PEUGEOT,Male,,Offside,2005.0
21,200501BS00021,26 - 35,1.0,Urban area,HONDA,Male,,Front,2005.0
22,200501BS00021,26 - 35,5.0,Urban area,VAUXHALL,Male,,Offside,2005.0
23,200501BS00022,26 - 35,1.0,Urban area,HONDA,Male,,Front,2005.0
24,200501BS00023,Data missing or out of range,,Data missing or out of range,HONDA,Male,,Front,2005.0
25,200501BS00024,,,,,,,,
26,200501BS00025,,,,,,,,
27,200501BS00028,36 - 45,4.0,Urban area,BMW,Male,,Offside,2005.0
28,200501BS00029,56 - 65,1.0,Urban area,ROVER,Male,,Nearside,2005.0
29,200501BS00031,,,,,,,,
30,200501BS00032,,,,,,,,
31,200501BS00033,26 - 35,3.0,Urban area,LOTUS,Male,,Back,2005.0
32,200501BS70001,26 - 35,14.0,Urban area,HONDA,Female,,Front,2005.0
33,200501BS70002,26 - 35,4.0,Urban area,SUZUKI,Female,,Front,2005.0
34,200501BS70003,,,,,,,,
35,200501BS70004,,,,,,,,
36,200501BS70005,36 - 45,1.0,Urban area,PIAGGIO,Male,Skidded,Front,2005.0
37,200501BS70006,,,,,,,,
38,200501BS70007,46 - 55,9.0,Urban area,SAAB,Male,,Offside,2005.0
39,200501BS70007,36 - 45,,Urban area,IVECO-FORD,Male,,Offside,2005.0
40,200501BS70007,26 - 35,6.0,Urban area,HONDA,Female,,Offside,2005.0
41,200501BS70008,Data missing or out of range,18.0,Data missing or out of range,FORD,Male,,Front,2005.0
42,200501BS70009,,,,,,,,
43,200501BS70010,,,,,,,,
44,200501BS70011,,,,,,,,
45,200501BS70012,,,,,,,,
46,200501BS70013,36 - 45,3.0,Urban area,AUDI,Male,,Front,2005.0
47,200501BS70014,36 - 45,3.0,Urban area,HONDA,Male,,Front,2005.0
48,200501BS70016,,,,,,,,
49,200501BS70017,36 - 45,3.0,Urban area,LONDON TAXIS INT,Male,,Back,2005.0
50,200501BS70017,56 - 65,39.0,Data missing or out of range,LEYLAND AEC,Male,,Front,2005.0
51,200501BS70018,66 - 75,1.0,Urban area,SUBARU,Male,,Nearside,2005.0
52,200501BS70019,66 - 75,18.0,Urban area,HONDA,Male,,Front,2005.0
53,200501BS70020,46 - 55,2.0,Data missing or out of range,PIAGGIO,Male,,Front,2005.0
54,200501BS70021,26 - 35,5.0,Urban area,DENNIS,Male,,Did not impact,2005.0
55,200501BS70023,,,,,,,,
56,200501BS70025,46 - 55,10.0,Urban area,SUBARU,Female,,Front,2005.0
57,200501BS70027,,,,,,,,
58,200501BS70028,,,,,,,,
59,200501BS70029,21 - 25,7.0,Urban area,KAWASAKI,Male,,Front,2005.0
60,200501BS70030,56 - 65,8.0,Rural,MERCEDES,Male,,Nearside,2005.0
61,200501BS70031,26 - 35,,Urban area,SAAB,Male,,Nearside,2005.0
62,200501BS70032,,,,,,,,
63,200501BS70033,,,,,,,,
64,200501BS70034,,,,,,,,
65,200501BS70036,Data missing or out of range,9.0,Urban area,ROVER,Male,,Front,2005.0
66,200501BS70037,56 - 65,8.0,Urban area,MERCEDES,Female,,Front,2005.0
67,200501BS70038,56 - 65,,Urban area,RENAULT,Male,,Offside,2005.0
68,200501BS70039,Data missing or out of range,9.0,Urban area,HYUNDAI,Male,,Nearside,2005.0
69,200501BS70040,,,,,,,,
70,200501BS70041,,,,,,,,
71,200501BS70042,,,,,,,,
72,200501BS70043,26 - 35,2.0,Data missing or out of range,MERCEDES,Not known,,Nearside,2005.0
73,200501BS70044,,,,,,,,
74,200501BS70045,,,,,,,,
75,200501BS70046,,,,,,,,
76,200501BS70047,36 - 45,16.0,Urban area,SAAB,Male,,Front,2005.0
77,200501BS70048,36 - 45,1.0,Urban area,PIAGGIO,Female,,Nearside,2005.0
78,200501BS70048,36 - 45,4.0,Data missing or out of range,MERCEDES,Male,,Did not impact,2005.0
79,200501BS70049,56 - 65,6.0,Urban area,LONDON TAXIS INT,Male,,Did not impact,2005.0
80,200501BS70050,,,,,,,,
81,200501BS70051,,,,,,,,
82,200501BS70052,26 - 35,5.0,Urban area,ROVER,Female,,Front,2005.0
83,200501BS70053,,,,,,,,
84,200501BS70054,,,,,,,,
85,200501BS70055,,,,,,,,
86,200501BS70056,,,,,,,,
87,200501BS70058,,,,,,,,
88,200501BS70060,,,,,,,,
89,200501BS70061,21 - 25,3.0,Urban area,NISSAN,Male,,Did not impact,2005.0
90,200501BS70061,26 - 35,1.0,Urban area,PIAGGIO,Male,,Did not impact,2005.0
91,200501BS70062,21 - 25,8.0,Urban area,YAMAHA,Male,,Front,2005.0
92,200501BS70063,26 - 35,3.0,Data missing or out of range,PIAGGIO,Female,,Did not impact,2005.0
93,200501BS70065,,,,,,,,
94,200501BS70066,26 - 35,2.0,Urban area,PIAGGIO,Male,,Nearside,2005.0
95,200501BS70067,,,,,,,,
96,200501BS70068,21 - 25,3.0,Urban area,FIAT,Female,,Front,2005.0
97,200501BS70069,,,,,,,,
98,200501BS70070,36 - 45,2.0,Urban area,PEUGEOT,Male,,Front,2005.0
99,200501BS70072,26 - 35,5.0,Data missing or out of range,HONDA,Male,,Front,2005.0
100,200501BS70073,,,,,,,,
101,200501BS70074,,,,,,,,
102,200501BS70075,Data missing or out of range,2.0,Data missing or out of range,VOLVO,Male,,Did not impact,2005.0
103,200501BS70076,46 - 55,4.0,Urban area,VOLVO,Male,,Front,2005.0
104,200501BS70077,36 - 45,2.0,Urban area,LAND ROVER,Female,,Back,2005.0
105,200501BS70077,26 - 35,,Urban area,VOLVO,Male,,Front,2005.0
106,200501BS70078,,,,,,,,
107,200501BS70079,36 - 45,3.0,Urban area,SUZUKI,Male,,Front,2005.0
108,200501BS70079,36 - 45,2.0,Urban area,HONDA,Male,,Front,2005.0
109,200501BS70080,26 - 35,5.0,Urban area,VOLKSWAGEN,Male,,Back,2005.0
110,200501BS70082,,,,,,,,
111,200501BS70083,21 - 25,1.0,Data missing or out of range,PEUGEOT,Male,,Nearside,2005.0
112,200501BS70084,,,,,,,,
113,200501BS70085,26 - 35,3.0,Urban area,SUZUKI,Male,,Did not impact,2005.0
114,200501BS70085,36 - 45,2.0,Urban area,IVECO-FORD,Male,,Front,2005.0
115,200501BS70086,36 - 45,15.0,Urban area,SAAB,Male,,Back,2005.0
116,200501BS70087,46 - 55,12.0,Urban area,CITROEN,Male,,Front,2005.0
117,200501BS70088,46 - 55,3.0,Urban area,DENNIS,Male,,Did not impact,2005.0
118,200501BS70088,36 - 45,1.0,Urban area,BENTLEY,Male,,Front,2005.0
119,200501BS70089,,,,,,,,
120,200501BS70090,,,,,,,,
121,200501BS70091,21 - 25,2.0,Urban area,VAUXHALL,Male,,Front,2005.0
122,200501BS70092,46 - 55,7.0,Urban area,MERCEDES,Female,,Offside,2005.0
123,200501BS70093,,,,,,,,
124,200501BS70094,,,,,,,,
125,200501BS70095,,,,,,,,
126,200501BS70096,26 - 35,2.0,Urban area,SUZUKI,Male,,Front,2005.0
127,200501BS70097,,,,,,,,
128,200501BS70098,,,,,,,,
129,200501BS70099,26 - 35,3.0,Urban area,DENNIS,Male,,Did not impact,2005.0
130,200501BS70100,,,,,,,,
131,200501BS70101,,,,,,,,
132,200501BS70102,,,,,,,,
133,200501BS70105,,,,,,,,
134,200501BS70107,26 - 35,1.0,Urban area,PIAGGIO,Male,,Front,2005.0
135,200501BS70108,,,,,,,,
136,200501BS70109,,,,,,,,
137,200501BS70110,16 - 20,1.0,Urban area,MINI,Male,,Front,2005.0
138,200501BS70111,21 - 25,13.0,Urban area,HONDA,Male,Skidded,Front,2005.0
139,200501BS70112,,,,,,,,
140,200501BS70113,,,,,,,,
141,200501BS70114,,,,,,,,
142,200501BS70115,66 - 75,1.0,Urban area,BMW,Male,,Offside,2005.0
143,200501BS70116,,,,,,,,
144,200501BS70117,26 - 35,3.0,Urban area,DUCATI,Male,,Front,2005.0
145,200501BS70118,,,,,,,,
146,200501BS70119,,,,,,,,
147,200501BS70121,36 - 45,3.0,Urban area,PIAGGIO,Male,,Front,2005.0
